station_name,yelp_business_name,foursquare_business_name,yelp_rating,foursquare_rating,yelp_distance,foursquare_distance
Abbeville - Faubourg Poissonnière,Pedzouille,La Binouze,4.7,N/A,346.5610050472424,323
Abbeville - Faubourg Poissonnière,ASPIC,Billili,5.0,N/A,396.56096326659434,174
Abbeville - Faubourg Poissonnière,ASPIC,Brasserie Bellanger,5.0,N/A,396.56096326659434,202
Abbeville - Faubourg Poissonnière,ASPIC,Mussubi,5.0,N/A,396.56096326659434,256
Abbeville - Faubourg Poissonnière,ASPIC,Ma Kitchen,5.0,N/A,396.56096326659434,296
Abbeville - Faubourg Poissonnière,ASPIC,La Binouze,5.0,N/A,396.56096326659434,323
Porte de Pantin.,Au Boeuf Couronné,Cité de la Musique,4.1,N/A,285.85865784117215,112
Porte de Pantin.,Au Boeuf Couronné,Philharmonie de Paris,4.1,N/A,285.85865784117215,213
Porte de Pantin.,Au Boeuf Couronné,Musée de la Musique,4.1,N/A,285.85865784117215,133
Porte de Pantin.,Au Boeuf Couronné,Le Local Rock,4.1,N/A,285.85865784117215,193
Porte de Pantin.,Au Boeuf Couronné,Au Bœuf Couronné,4.1,N/A,285.85865784117215,320
Porte de Pantin.,Paname Brewing Company,Cité de la Musique,4.1,N/A,1196.6988844084558,112
Porte de Pantin.,Paname Brewing Company,Philharmonie de Paris,4.1,N/A,1196.6988844084558,213
Porte de Pantin.,Paname Brewing Company,Musée de la Musique,4.1,N/A,1196.6988844084558,133
Porte de Pantin.,Paname Brewing Company,Le Local Rock,4.1,N/A,1196.6988844084558,193
Porte de Pantin.,Paname Brewing Company,Au Bœuf Couronné,4.1,N/A,1196.6988844084558,320
Porte de Pantin.,Philharmonie de Paris,Cité de la Musique,4.2,N/A,89.34383291827743,112
Porte de Pantin.,Philharmonie de Paris,Philharmonie de Paris,4.2,N/A,89.34383291827743,213
Porte de Pantin.,Philharmonie de Paris,Musée de la Musique,4.2,N/A,89.34383291827743,133
Porte de Pantin.,Philharmonie de Paris,Le Local Rock,4.2,N/A,89.34383291827743,193
Porte de Pantin.,Philharmonie de Paris,Au Bœuf Couronné,4.2,N/A,89.34383291827743,320
Porte de Pantin.,Le Pavillon des Canaux,Cité de la Musique,4.3,N/A,1210.3531605129108,112
Porte de Pantin.,Le Pavillon des Canaux,Philharmonie de Paris,4.3,N/A,1210.3531605129108,213
Porte de Pantin.,Le Pavillon des Canaux,Musée de la Musique,4.3,N/A,1210.3531605129108,133
Porte de Pantin.,Le Pavillon des Canaux,Le Local Rock,4.3,N/A,1210.3531605129108,193
Porte de Pantin.,Le Pavillon des Canaux,Au Bœuf Couronné,4.3,N/A,1210.3531605129108,320
Porte de Pantin.,Bustronome,Cité de la Musique,4.5,N/A,7607.814933692776,112
Porte de Pantin.,Bustronome,Philharmonie de Paris,4.5,N/A,7607.814933692776,213
Porte de Pantin.,Bustronome,Musée de la Musique,4.5,N/A,7607.814933692776,133
Porte de Pantin.,Bustronome,Le Local Rock,4.5,N/A,7607.814933692776,193
Porte de Pantin.,Bustronome,Au Bœuf Couronné,4.5,N/A,7607.814933692776,320
Passy - Place du Costa Rica,La Coïncidence,Le Passy,4.5,N/A,1069.6151618612546,31
Passy - Place du Costa Rica,La Coïncidence,Le Bistrot des Vignes,4.5,N/A,1069.6151618612546,373
Passy - Place du Costa Rica,La Coïncidence,Aire de Jeux des Jardins du Trocadéro,4.5,N/A,1069.6151618612546,389
Passy - Place du Costa Rica,La Coïncidence,Huîtres et Saumons de Passy,4.5,N/A,1069.6151618612546,391
Passy - Place du Costa Rica,La Coïncidence,Marks & Spencer Food Passy,4.5,N/A,1069.6151618612546,462
Passy - Place du Costa Rica,Crêperie Framboise Passy-Trocadéro,Le Passy,4.3,N/A,89.48973466893203,31
Passy - Place du Costa Rica,Crêperie Framboise Passy-Trocadéro,Le Bistrot des Vignes,4.3,N/A,89.48973466893203,373
Passy - Place du Costa Rica,Crêperie Framboise Passy-Trocadéro,Aire de Jeux des Jardins du Trocadéro,4.3,N/A,89.48973466893203,389
Passy - Place du Costa Rica,Crêperie Framboise Passy-Trocadéro,Huîtres et Saumons de Passy,4.3,N/A,89.48973466893203,391
Passy - Place du Costa Rica,Crêperie Framboise Passy-Trocadéro,Marks & Spencer Food Passy,4.3,N/A,89.48973466893203,462
Passy - Place du Costa Rica,La Petite Tour,Le Passy,4.4,N/A,92.13288737804474,31
Passy - Place du Costa Rica,La Petite Tour,Le Bistrot des Vignes,4.4,N/A,92.13288737804474,373
Passy - Place du Costa Rica,La Petite Tour,Aire de Jeux des Jardins du Trocadéro,4.4,N/A,92.13288737804474,389
Passy - Place du Costa Rica,La Petite Tour,Huîtres et Saumons de Passy,4.4,N/A,92.13288737804474,391
